,S101,S109,S102,S106,S108,S98,S107,S103,S104,S105,S75,S64,S73,S74,S27,S26,S89,S90,S91,S88,S95,S93,S85,S86,S87,S92,S59,S45,S47,S49,S51,S53,S55,S10,S11,S14,S20,S40,S15,S17,S18,S19,S8,S9,S1,S16,S62,S34,S6,S60,S81,S82,S83,S84,S29,S30,S31,S32,S36,S38,S39,S41,S42,S43,S68,S76,S77,S1601,S1602,S21,S22,S23,S24,S3,S4,S5
g__Rubrivivax,0,0.037453879,0.043800079,0.056655831,0.051025291,0.056001956,0,0.050084725,0,0.038836192,0.041397224,0,0,0,0.059341967,0.055199465,0.040475169,0.046975391,0,0,0.023357613,0,0.061460775,0.038624443,0,0.045017046,0.053487538,0.07807645,0,0.051967234,0,0.044778098,0,0.057228887,0.058563861,0,0.056383999,0,0,0.039345401,0.058036059,0.058715811,0,0.058009712,0,0.051591578,0.049283639,0,0.038161177,0.076555781,0.049664686,0.042390849,0,0,0.070157783,0.05189378,0.061829314,0,0.082344373,0.051818434,0,0.050845275,0,0.051321476,0,0,0,0.051563438,0,0.072843938,0,0.073362686,0.039581409,0,0.046375684,0.054736286
g__Limnohabitans_A,0,0,0.023173643,0.01894456,0,0,0,0.0625242,0.115564056,0.038012041,0.024214867,0,0,0,0,0,0.017340533,0.048172683,0.078283513,0,0.032705414,0.041873516,0.027175386,0.054598713,0.035574118,0,0,0.062020654,0,0.01415758,0,0.055722202,0.089802762,0.038448291,0,0,0.047971827,0,0,0,0,0,0,0,0,0.01692997,0,0,0.034291222,0,0,0.050453311,0,0,0,0.05851403,0.048513046,0,0,0,0,0.023327383,0,0,0,0,0,0.068966651,0,0.065871671,0.051032574,0,0.007165235,0,0,0.037875157
g__Silanimonas,0,0,0,0.032632174,0,0,0,0,0,0,0.050073126,0.058155825,0.167799273,0,0,0,0.039841942,0.03112874,0.051220416,0,0,0,0.052929903,0,0,0.03951048,0.110759722,0.067740006,0,0,0,0.020442857,0.102601343,0,0,0,0,0.040341817,0,0,0,0,0,0,0,0.027673102,0,0.109388828,0,0.0650014,0.043807855,0.034041799,0.149852322,0.178035049,0,0,0,0.220805549,0,0,0.11777369,0,0.095212896,0,0.174991157,0.044335202,0.058453935,0,0.142052744,0,0.112504642,0,0,0.103157158,0,0
g__Caldora,0,0,0,0.031027967,0,0,0,0.053310214,0,0.021282754,0,0,0,0,0,0,0,0.034739856,0,0,0.041006604,0,0,0.025067987,0,0.036118533,0,0,0,0,0,0.043334722,0.075559607,0,0,0,0,0,0,0,0,0.031493171,0.080002546,0.048945331,0.073464413,0,0,0.044487329,0,0,0,0,0,0,0.103109725,0,0,0,0,0.026754838,0,0,0,0,0,0,0,0.054782046,0,0,0,0,0,0,0.03988066,0.078745908
g__Prochlorococcus_A,0,0.041291303,0.02855308,0.052740916,0.037488014,0,0,0.072121907,0.121094407,0.030148798,0,0,0,0,0,0,0,0.031442159,0.089804552,0,0.04256662,0.03175009,0,0,0,0.03682791,0,0,0,0.030762546,0,0.055336793,0.077515336,0.047940541,0,0,0,0.053908603,0,0,0,0,0,0,0,0,0,0,0,0.037675517,0,0.038099042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077766503,0,0,0,0,0,0,0,0
g__Aquabacterium,0,0.030291142,0.034389684,0.039916652,0,0.031687368,0.232134035,0,0,0,0,0,0,0,0,0,0.047499038,0.041322839,0,0,0,0,0,0.035005592,0.058573779,0.032950457,0,0,0,0,0.123947387,0,0,0.093477674,0,0.135078343,0,0,0.065201303,0,0,0,0,0.053540418,0.073922024,0,0.028294303,0,0.024042282,0,0.059364189,0.048634976,0.101423135,0,0,0,0,0,0.148984692,0,0.153279357,0.046082101,0,0.059689669,0,0,0.058053774,0.047673183,0.103772837,0,0,0,0.060963009,0.117846403,0,0.044850992
g__Methylobacter_C,0,0,0,0,0,0,0,0.033467825,0,0.022648199,0,0,0,0,0.070274428,0.036129515,0.032836178,0,0,0.068745971,0,0,0.100030375,0.026253002,0.054321133,0.022082119,0,0,0,0.058701116,0,0.033691067,0,0,0.060110417,0,0.045679117,0,0.039947003,0.047381828,0,0,0,0,0,0,0,0,0.04302763,0,0,0,0.122929496,0.081255155,0,0,0,0,0,0.080345266,0.184351917,0.039285648,0,0.041729841,0,0,0.062261121,0.035305915,0,0,0.087307185,0,0,0.031855851,0,0
g__Dethiobacter,0,0,0,0,0,0,0,0,0,0.020052969,0,0.046009807,0,0,0,0,0,0,0,0.044726226,0.043095181,0.020002872,0.056860251,0,0.014584741,0,0.086848113,0.141676686,0.175527982,0,0.132527256,0.033880698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026218973,0.046914397,0.015125294,0,0,0,0,0.119968111,0,0,0,0.217329333,0,0,0,0,0.091690148,0.045383056,0,0,0,0,0,0,0,0,0,0,0,0
g__Methylotenera,0,0.054147052,0.030221321,0.039486706,0,0,0,0,0,0.06747379,0,0,0.097122746,0,0,0,0,0,0,0,0,0,0,0.032995231,0,0.03529366,0,0.093089844,0,0,0,0,0.099869281,0,0.076018864,0.159763339,0,0.081321917,0.045835586,0,0.04091831,0,0,0,0.055355098,0,0.017620175,0.069986441,0,0,0,0,0,0,0.092106945,0.07124427,0.054623408,0,0,0.028877317,0,0,0.087893643,0,0.160373138,0,0,0,0,0.0727037,0,0,0,0.109346594,0,0.048649239
g__Cupriavidus,0,0,0,0,0.051589235,0,0,0,0,0,0,0,0,0.079221536,0,0,0.031704256,0,0,0,0,0.035732369,0.057758004,0,0,0,0,0,0.137619969,0.006121927,0,0,0,0,0,0,0.061609965,0,0.09743808,0,0.041984965,0.04393112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027745809,0,0.075468374,0,0,0,0,0,0,0,0.043940207,0,0,0.073279361,0
g__Serpentinimonas,0,0,0,0,0,0,0,0,0,0,0.032886368,0.050317865,0.132460361,0,0,0,0,0,0,0,0.048343888,0,0,0,0,0.034800098,0.103623345,0.108607032,0.162910279,0.051946795,0.150672718,0.036544784,0,0,0,0.025176793,0,0,0,0,0,0,0,0,0,0,0,0.08603494,0,0,0,0,0,0.146215423,0,0,0,0.211783522,0,0,0,0.041842511,0.184443582,0.056267422,0,0,0,0,0,0,0.121196124,0,0,0.116636393,0,0
