genera	S1	S10	S101	S102	S103	S104	S105	S106	S107	S108	S109	S11	S14	S15	S16	S1601	S1602	S17	S18	S19	S20	S21	S22	S23	S24	S26	S27	S29	S3	S30	S31	S32	S33	S34	S36	S38	S39	S4	S40	S41	S42	S43	S45	S47	S49	S5	S51	S53	S55	S59	S6	S60	S62	S64	S65	S66	S67	S68	S73	S74	S75	S76	S77	S8	S81	S82	S83	S84	S85	S86	S87	S88	S89	S9	S90	S91	S92	S93	S95	S98
g__JAFLCL01	0	0	0	0	6	0	51	0	0	0	0	4	0	145	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	21	2	0	195	0	52	0	56	0	13	0	0	282	13	0	0	0	0	5	0	8	0	0	0	0	0	0	9	0	89	0	10	58
g__M3007	0	0	0	203	291	30	727	267	0	251	7	420	0	0	22	248	0	0	275	8	0	403	0	5	0	0	0	0	0	19	2021	0	34	42	0	5	0	0	171	345	0	0	0	0	0	1127	0	283	40	6	46	366	213	0	12	14	402	0	0	464	345	0	0	0	0	982	22	0	479	39	0	0	491	2	1064	42	650	14	0	0
g__UBA6168	0	0	0	0	6	0	84	0	0	3	0	374	0	0	15	0	0	227	0	57	192	0	0	215	0	0	0	0	0	17	220	0	0	0	0	29	0	0	0	545	2	0	0	0	498	6	0	9	0	0	29	0	474	0	12	38	11	0	0	0	33	0	0	0	0	3	0	0	0	18	0	0	0	0	9	0	285	6	0	0
g__Aquicella_A	0	0	0	0	12	0	0	0	0	5	0	0	0	78	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	360	0	74	0	211	0	0	0	3	0	33	0	0	0	0	256	0	418	0	25	0	0	9	36	0	0	0	0	15	0	0	4	41	0	0	0	0	118	0	297	0	40	0
g__UBA4427	0	0	0	36	0	0	167	0	0	0	0	0	0	3	17	5	0	20	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	90	15	0	0	0	54	0	0	0	0	0	6	0	0	0	0	22	0	3	0	47	0	9	0	0	0	4	10	0	0	0	14	0	0	0	0	0	0	0	0	42	0	0	0	0	24
g__Sediminibacterium	0	0	213	70	1518	72	0	329	43	992	693	0	0	667	0	991	0	48	8	0	0	554	0	198	0	514	0	0	0	30	259	0	8	210	27	0	0	245	125	0	23	193	0	0	3	59	35	1256	0	28	61	0	0	47	15	0	1740	0	0	236	227	0	0	0	232	793	0	0	0	318	19	26	0	0	605	0	325	0	560	583
g__Bog-950	0	0	0	0	0	0	127	188	0	17	0	0	0	16	14	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	139	0	0	11	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	15	0	0	0	0	0
g__CAJBPB01	0	0	0	12	0	0	34	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	262	0	0	71	0	0	0	0	0	177	0	491	718	0	0	0	0	0	0	0	0
g__JAUSGV01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__BOKZ01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	10	13	0	0	0	94	0	0	0	119	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	291	3	8	0
