genera	S1	S10	S101	S102	S103	S104	S105	S106	S107	S108	S109	S11	S14	S15	S16	S1601	S1602	S17	S18	S19	S20	S21	S22	S23	S24	S26	S27	S29	S3	S30	S31	S32	S33	S34	S36	S38	S39	S4	S40	S41	S42	S43	S45	S47	S49	S5	S51	S53	S55	S59	S6	S60	S62	S64	S65	S66	S67	S68	S73	S74	S75	S76	S77	S8	S81	S82	S83	S84	S85	S86	S87	S88	S89	S9	S90	S91	S92	S93	S95	S98
g__JADGQN01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__VGTJ01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	3	0	0	0	0	90	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__JAEWAH01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__JAHFEG01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	6	0	0	0	0	89	0	370	0	9	0	0	0	55	0	0	0	0	0	0	0	0	30	0	0	0	0	50	0	24	0	0	0
g__JACPYF01	0	0	0	0	0	0	0	0	0	46	3	0	0	0	26	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	74	0	0	0	0	0	0	0	0	0	0	0	266	0	40	0	228	0	0	0	4	0	68	0	0	0	0	0	0	0	0	255	0	0	0	11	0	0	0	0	78	8
g__Domibacillus	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Thermanaerosceptrum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	949	0	0	0	5	0	0	0	0	0
g__JAGUVT01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	6
g__Patulibacter	0	0	0	9	0	0	0	0	0	51	94	0	0	0	0	0	0	0	0	0	9	0	0	215	0	0	11	0	0	0	0	0	0	0	0	0	0	49	0	63	0	60	0	0	0	2	0	0	0	0	0	0	43	0	16	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0
g__RAAP-2	4	0	0	0	967	0	272	309	0	0	0	0	0	0	0	618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1095	0	0	250	0	0	0	0	0	1026	0	0	0	36	0	0	0	0	772	0	0	0	187	0	0	0	0	1053	0	0	0	0	0
g__Aquiluna	0	0	0	0	0	0	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	568	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
g__Ilumatobacter_A	0	0	0	0	0	0	30	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0
g__JAFLBB01	0	0	0	0	0	0	0	0	0	105	0	5	0	0	349	0	0	253	37	4	284	0	0	0	0	387	0	0	0	0	125	0	0	0	0	6	0	0	0	0	0	0	0	0	7	3	0	0	0	0	150	0	0	0	0	0	0	0	0	26	0	73	0	0	40	0	0	0	0	0	0	0	0	0	22	0	0	0	0	500
g__AC-32	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	4	118	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	1	0
g__UBA4720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0
g__BACL27	0	29	0	0	413	0	8	0	0	0	0	0	0	0	0	744	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	846	0	0	0	0	0	0	0	0	634	0	0	12	0	0	17	0	30	1121	0	0	0	0	0	0	0	0	1049	8	0	0	0	0
g__JAFAFN01	0	0	0	0	0	7	66	392	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	10	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__JAMDDA01	165	0	0	0	0	0	26	0	0	0	0	0	0	0	154	0	0	197	458	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	4	0	0	87	0	0	0	0	258	0	0	0	0	0	17	0	109	0	0	0	0	0	0	0	12	100	0	0	0	0	14	0	51
g__Undibacterium	0	0	0	0	604	0	0	0	29	0	0	0	0	8	79	943	0	0	65	0	0	0	0	0	754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	508	0	2	0	0	0	0	0	155	0	0	18	0	265	0	150	0	478	0	54	0	0	0	75	0	0	370	0	0	0	364	0	0	0	0	107	0	0	0	658	104
g__UBA5799	0	0	0	176	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	5	0	0	0	0	52	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	19	0	5	212	0	0	0	0	18	0	0	13	317	0	0	0	0	0	0	0	276	0	0	0	11	280	0	0
g__JAHFDX01	0	0	0	0	5	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	10	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	63	0	0	0
g__QUBU01	0	0	0	140	5	0	26	0	0	276	0	0	0	6	36	2	0	0	354	0	0	22	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	87	0	119	0	5	0	0	0	0	0	20	0	0	165	0	0	0	3	0	0	0	0	0	7	0	0	0	0	0	0	0	12	0	0	0	0	0	141	0	0	0	0	130
g__Acidoferrum	0	0	0	0	0	0	0	0	0	0	0	11	0	879	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0
g__Aestuariivirga	0	0	19	0	39	0	435	293	0	707	89	0	0	492	0	343	0	0	22	5	0	590	0	0	0	0	0	0	0	0	722	0	0	0	0	0	0	77	0	0	0	49	0	0	179	314	0	653	18	0	316	456	0	0	3	10	213	0	0	0	0	0	0	0	0	466	0	0	0	34	0	0	21	0	278	0	34	0	543	3
g__Caulobacter	197	0	685	0	441	0	66	0	0	425	172	92	3	0	65	396	0	1261	0	383	701	194	0	0	129	487	44	0	0	16	69	0	0	0	0	105	0	50	0	132	0	0	172	67	892	201	0	34	0	0	271	0	256	0	327	0	48	0	0	664	413	0	0	0	0	179	0	0	434	491	0	0	0	0	293	32	0	389	65	833
g__CADEEL01	0	0	0	12	0	0	0	0	0	9	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	15	0	0	0	0	0	0	1713	0	199	10	0	0	0	0	0	0	0	0	115	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0
g__Amaricoccus	0	0	0	30	0	0	239	0	0	4	0	0	0	0	0	4	0	0	135	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	46	0	0	0	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	224	14	0	0	0	0	0	0	0	0	0	3	0	0	0	0	5	0	0	0	28	0	150	0	0	0
g__Rhizomicrobium	0	302	0	512	23	0	65	0	0	70	0	0	0	1758	66	4	0	4	0	25	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	404	0	209	0	147	0	0	0	0	0	14	0	0	0	0	1201	0	479	246	27	0	0	0	370	0	0	0	0	65	10	0	0	0	0	0	91	0	293	3	209	0	590	19
g__Ruegeria_B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__OLB5	0	0	0	0	0	0	14	0	0	0	26	37	16	0	22	0	0	12	756	15	0	53	0	43	4	53	0	0	0	152	330	0	0	0	0	30	0	0	416	0	0	0	0	0	10	0	0	0	0	0	61	0	20	44	0	0	13	0	0	0	267	0	0	17	11	0	0	0	30	0	0	0	0	0	0	0	30	0	0	92
g__SHVV01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	9	0	0	0	0	0
g__Caedimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	7	0	0	58	0	0	0	0	0	0	8	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__CAIOGO01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__SYFY01	0	0	0	0	34	0	67	0	0	0	0	0	0	0	0	35	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	79	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	284	0	0	0	0	0
g__JADLGH01	0	0	0	342	0	0	0	0	0	75	0	14	0	0	164	0	0	338	0	197	273	0	0	170	0	0	119	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	166	0	0	0	0	0	9	0	426	0	288	25	59	0	0	0	8	0	0	0	28	21	0	0	53	12	0	0	99	0	0	2	4	200	0	511
g__CADEFD01	0	0	0	414	0	9	491	98	0	0	0	17	0	29	994	14	5	64	232	92	0	96	0	0	12	81	5	0	0	0	257	0	0	0	0	25	0	0	140	397	0	2	0	0	30	15	0	78	0	2	184	0	130	0	638	244	73	0	0	0	466	6	0	5	2	55	0	0	0	52	0	0	0	0	268	8	387	3	5	638
g__VFZN01	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	143	75	0	386	0	0	0	0	0	35	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	28	0	0
g__SBAT01	0	0	0	44	3	0	0	0	0	0	0	5	0	39	19	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	3	0	8	0	0	2	0	0	0	0	6	27	8	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	274	0	0	0	0	0	314	42
g__Polycladomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__RGDT01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	294	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	46	0	0	0	0	10	0	0	0	0	20
g__Synechocystis	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Snowella	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Caldora	126	0	0	0	631	0	19	52	0	0	0	0	0	0	0	376	0	0	0	31	0	0	0	0	0	0	0	69	0	0	0	0	0	29	0	16	0	91	0	0	0	0	0	0	0	12760	0	435	31	0	0	0	0	0	69	0	389	0	0	0	0	0	0	134	0	0	0	0	0	45	0	0	0	160	178	0	588	0	49	0
g__Rhodoglobus	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	220	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0
g__UBA12499	0	0	0	0	2	0	0	0	0	0	0	0	0	50	0	0	0	0	0	13	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	83	0	854	0	0	0	0	0	0	0	0	11	0	0	0	734	0	836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	54	0
g__Prochlorococcus_A	0	86	0	78	6672	70	66	889	0	58	87	0	0	0	0	4993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	34	0	0	2453	34	0	0	27	0	0	32	47	2778	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	108	85	668	46	57	0
g__JADJXM01	0	0	0	429	0	0	44	0	0	4	90	256	0	13	58	0	0	0	0	0	0	346	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	69	0	0	0	51	0	0	0	0	0	0	0	0	88	14	0	0	40	0	0	0	0	31	0	0	0	0	0	0	0	0	46	0	0	0	94	0	0	0	0	0	0	48
g__JAJUJM01	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	279	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	6	0	0	106	0	0	0	0	13	0	0	0	0	0	72	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	29	0	0	0	0	0	0	0
g__DTUCFX13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	13	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
g__JADFKB01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	25	0	60	0	0	0	0	0	0	0	0	0	0	0	0	893	0	87	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0
g__JACOUO01	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	4	275	0	0	0	0	0	109	0	0	88	0	0	0	0	0	0	0	430	105	15	0	0	0	0	0
g__JAUVVL01	0	2	0	236	0	0	0	0	0	0	0	0	0	0	9	3	0	226	0	0	161	6	0	0	0	9	0	0	0	296	156	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	35	0	0	76	0	0	69	0	16	0	0	0	0	0	4	0	0	0	6	0	0	0	0	0	0	0	0	30	3	0	13	0	0
g__Geomonas	0	0	0	148	0	0	0	0	0	0	0	0	0	0	923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0
g__Desulfuromusa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	46	0	0	28	0	0	0	2	0	0	0	72	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	41
g__JACPNR01	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__UBA9959	0	0	0	34	0	0	0	0	0	0	0	0	0	0	23	0	0	0	13	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	2	0	0	22	0	23	0	7	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	2	0	3	0	0	8
g__Paucibacter_A	0	47	0	0	36	0	0	182	0	0	0	2	0	6	0	36	0	0	0	0	0	220	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	4	0	0	0	0	217	0	0	0	81	0	0	45	0	0	0	0	0	27	0	0	0	0	0	0	0	0	58	0	0	0	0	0
g__Inhella	0	0	0	0	179	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	43	0	0	0	106	237	0	224	0	18	0	0	0	48	0	0	0	0	158	0	0	0	0	0	0	0	198	119	0	494	0	0	0
g__Janthinobacterium	0	0	0	0	309	37	0	0	0	6	0	0	0	193	76	68	0	0	0	162	0	0	138	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	7	82	144	0	0	0	0	0	0	261	0	27	0	0	0	0	0	0	0	0	15	0	0	6	0	0
g__JAFLCD01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	27	0	0	0	3	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
g__Comamonas_C	0	242	0	160	0	0	0	7	0	0	0	1	0	0	203	0	0	331	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	8	0	0	0	454	205	0	749	0	0	0	0	411	0	0	0	0	74	0	0	0	63	15	0	0	0	218	0	0	0	0	0
g__JALORP01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
g__Aquabacterium	130	7243	0	193	0	0	0	165	111	0	26	0	51	581	0	171	35	0	0	0	0	0	0	0	428	0	0	0	212	0	0	0	18	0	159	0	53	0	0	526	0	470	0	0	0	199	135	0	0	0	46	0	48	0	214	792	74	0	0	0	0	0	92	0	411	745	35	0	0	209	91	0	224	261	485	0	333	0	0	25
g__PALSA-1004	0	0	0	0	327	0	0	0	0	67	0	0	0	26	274	0	0	0	44	0	0	0	0	39	420	41	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	344	0	0	408	0	178	0	276	271	357	0	0	0	6	0	0	0	0	0	0	0	0	55	0	0	0	0	185	0	39	0	57	2
g__Azonexus	0	253	0	0	0	0	0	0	0	0	0	387	0	99	72	25	0	580	202	0	763	0	0	0	140	341	87	0	0	0	66	0	0	0	0	0	0	326	0	0	0	0	0	0	0	0	0	87	0	0	55	0	22	0	17	0	0	0	0	24	0	0	112	0	0	0	106	70	86	74	7361	102	0	0	92	0	0	0	0	336
g__PALSA-1005	0	0	0	0	3	0	0	0	0	16	0	0	0	0	73	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Rugosibacter	0	0	168	0	0	0	0	0	0	0	44	103	0	0	0	9	29	0	0	0	0	0	0	0	0	0	0	0	0	577	294	0	0	0	0	0	0	206	0	0	0	20	0	0	0	0	0	32	0	0	222	0	0	0	0	0	40	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	976	0
g__JAGOCV01	0	0	0	557	7	0	3	0	16	277	99	0	0	235	52	35	0	257	0	72	108	0	0	485	202	224	0	0	0	0	0	0	0	0	80	0	0	13	35	30	0	0	0	0	28	152	0	14	0	0	411	0	464	227	380	670	1	45	0	40	1574	0	0	365	40	2	0	0	0	669	9	127	84	0	2	0	450	495	0	635
g__Nitrosospira	0	0	0	0	0	0	0	65	0	348	0	0	0	0	276	0	0	164	124	0	0	0	0	0	7	0	0	0	0	0	10	0	0	0	0	0	0	350	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89
g__VBDM01	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
g__Achromobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	191	0	4
g__Zwartia	0	0	0	0	375	12	606	281	0	14	11	0	0	0	0	519	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	479	8	0	0	0	0	8	0	0	639	0	0	0	33	0	0	0	0	662	0	0	0	22	0	5	0	0	426	0	0	0	0	0
g__JAGXFR01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	32	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	45	0	0	0
g__VBCG01	0	0	0	29	0	64	67	0	0	345	5	0	0	103	0	0	4	0	252	0	0	28	0	0	0	81	0	0	0	0	340	0	0	0	0	0	0	0	216	497	0	0	0	0	0	0	0	7	8	0	255	0	115	0	1774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0	4	351
g__Aquabacterium_A	0	0	0	0	0	0	0	241	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	85	0	0	0
g__SYFN01	0	0	0	0	447	0	552	1	0	0	0	0	0	242	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	351	0	0	0	0	0	2	0	0	342	0	0	0	8	0	0	0	0	346	0	0	0	240	0	0	0	0	315	0	0	1	0	0
g__JAGODF01	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__WRGT01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__MVZN01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Truepera	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	17	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
g__JACCZL01	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	152	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
